Topic,Problem Name,Rating,URL,Hint
Prefix Sum,Worms,1100,https://codeforces.com/problemset/problem/474/B,Cumulative sums of pile sizes for quick lookup [cite: 29]
Prefix Sum,Ilya and Queries,1100,https://codeforces.com/problemset/problem/313/B,Count matching adjacent characters up to index i
Prefix Sum,Kuriyama Mirai's Stones,1200,https://codeforces.com/problemset/problem/433/B,Two prefix sum arrays: one original, one sorted
Prefix Sum,Fence,1100,https://codeforces.com/problemset/problem/363/B,Sliding window of size k using prefix sums [cite: 10]
Prefix Sum,Lecture Sleep,1200,https://codeforces.com/problemset/problem/961/B,Prefix sums of points missed while sleeping
Prefix Sum,Good Subarrays,1500,https://codeforces.com/problemset/problem/1398/C,Count pairs where P[j] - P[i] = j - i
Prefix Sum,Tanya and Candies,1200,https://codeforces.com/problemset/problem/1118/B,Even and odd indices prefix sums [cite: 11]
Prefix Sum,Little Girl and Maximum Sum,1500,https://codeforces.com/problemset/problem/276/C,Difference array to find query frequency per index
Prefix Sum,Greg and Array,1400,https://codeforces.com/problemset/problem/295/A,Difference array for operations, then for the array
Prefix Sum,Maximum Subarray Sum,1100,https://codeforces.com/problemset/problem/1373/D,Kadane's or prefix sums on even/odd differences
Prefix Sum,Karen and Coffee,1500,https://codeforces.com/problemset/problem/816/B,Difference array to count overlapping intervals
Prefix Sum,Abruptly,1400,https://codeforces.com/problemset/problem/1550/C,Check all small subarrays using prefix properties
Prefix Sum,Breed Counting,1300,https://codeforces.com/problemset/problem/USACO,Three prefix sum arrays for each type
Prefix Sum,Stripe,1000,https://codeforces.com/problemset/problem/18/C,Number of ways to split array into two equal sums
Prefix Sum,Sorted Adjacent Differences,1200,https://codeforces.com/problemset/problem/1339/B,Prefix logic mixed with sorting from center out
Prefix Sum,Number of Ways,1500,https://codeforces.com/problemset/problem/466/C,Prefix sum = Total/3, then count occurrences
Prefix Sum,Sereja and Suffixes,1000,https://codeforces.com/problemset/problem/368/B,Suffix array of unique element counts
Prefix Sum,Equator,900,https://codeforces.com/problemset/problem/962/A,Find first i where P[i] >= Total/2
Prefix Sum,Maximum GCD,1400,https://codeforces.com/problemset/problem/1458/A,gcd(a1+b, a2+b, ...) = gcd(a1+b, a2-a1, a3-a2, ...)
Prefix Sum,The Cake Is a Lie,800,https://codeforces.com/problemset/problem/1519/B,Check if k = n*m - 1
